sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
4807,3:24.877 703 688,"SysTick","ISR Exit","Returns to Idle",3278043259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17506,3,03 81 04 
4808,3:24.878 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3278058746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17509,4,02 0F FF 78 
4809,3:24.878 703 688,"SysTick","ISR Exit","Returns to Idle",3278059259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17513,3,03 81 04 
4810,3:24.879 671 688,"SysTick","ISR Enter","Runs for 127.250 us",3278074747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17516,4,02 0F 80 79 
4811,3:24.879 713 688,"SysTick","Task Ready","Task-1, runs after 322.938 us",3278075419,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,17520,5,06 E8 08 A0 05 
4812,3:24.879 760 813,"SysTick","Task Ready","Task-2, runs after 79.563 us",3278076173,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,17525,5,06 D8 0D F2 05 
4813,3:24.879 798 938,"SysTick","ISR Exit","Returns to Scheduler",3278076783,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,17530,3,12 E2 04 
4814,3:24.879 840 375,"Task-2","Task Run","Runs for 139.250 us",3278077446,0x0000000400000000,0x00000008000006D8,0x00000008000006D8,4,17533,5,04 D8 0D 97 05 
4815,3:24.879 904 188,"Task-2","Log","Green Led Task!!",3278078467,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,26,17538,23,1A 13 10 47 72 65 65 6E 20 4C 65 64 20 54 61 73 6B 21 21 00 00 FD 07 
4816,3:24.879 942 688,"Task-2","vTaskDelay","xTicksToDelay=100",3278079083,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,35,17561,5,23 01 64 E8 04 
4817,3:24.879 979 625,"Task-2","Task Block","Delayed",3278079674,0x00000008000006D8,0x00000008000006D8,0x0000000400000000,7,17566,6,07 D8 0D 04 CF 04 
4818,3:24.880 036 625,"Task-1","Task Run","Runs for 136.813 us",3278080586,0x0000000400000000,0x0000000800000468,0x0000000800000468,4,17572,5,04 E8 08 90 07 
4819,3:24.880 097 188,"Task-1","Log","Red Led Task!!",3278081555,0x0000000800000468,0x0000000800000468,0x0000000800000468,26,17577,21,1A 11 0E 52 65 64 20 4C 65 64 20 54 61 73 6B 21 21 00 00 C9 07 
4820,3:24.880 136 125,"Task-1","vTaskDelay","xTicksToDelay=1000",3278082178,0x0000000800000468,0x0000000800000468,0x0000000800000468,35,17598,6,23 02 E8 07 EF 04 
4821,3:24.880 173 438,"Task-1","Task Block","Delayed",3278082775,0x0000000800000468,0x0000000800000468,0x0000000400000000,7,17604,6,07 E8 08 04 D5 04 
4822,3:24.880 227 125,"Idle","System Idle","Idle for 99.526 ms",3278083634,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,17610,3,11 DB 06 
4823,3:24.880 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3278090746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17613,4,02 0F C8 37 
4824,3:24.880 703 688,"SysTick","ISR Exit","Returns to Idle",3278091259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17617,3,03 81 04 
4825,3:24.881 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3278106746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17620,4,02 0F FF 78 
4826,3:24.881 703 688,"SysTick","ISR Exit","Returns to Idle",3278107259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17624,3,03 81 04 
